Date,CPI General,Inflation (%)
2024-10-28,79.0942,-0.00164358275755324
2024-10-29,79.0833,-0.01378103577760009
2024-10-30,78.9823,-0.12771343633864432
2024-10-31,78.9859,0.004557983244354521
2024-11-01,78.8762,-0.13888554792691313
2024-11-02,78.8844,0.010396038348706208
2024-11-03,78.9079,0.029790427511648086
2024-11-04,78.7271,-0.22912788199914705
2024-11-05,78.7976,0.08954985005164649
2024-11-06,78.7493,-0.061296283135523884
2024-11-07,78.6783,-0.09015953157680406
2024-11-08,78.6745,-0.004829794238053249
2024-11-09,78.7253,0.06456984156239888
2024-11-10,78.7252,-0.00012702396815676746
2024-11-11,78.737,0.014988847281421724
2024-11-12,78.792,0.06985280109733268
2024-11-13,78.7786,-0.017006802721093887
2024-11-14,78.7766,-0.0025387605263299156
2024-11-15,78.7492,-0.034781902240005394
2024-11-16,78.8035,0.06895308142812599
2024-11-17,78.7839,-0.024871991726251947
2024-11-18,78.7384,-0.05775291652228957
2024-11-19,78.7065,-0.040513904270334626
2024-11-20,78.6187,-0.11155368362206607
2024-11-21,78.6968,0.09934023330326253
2024-11-22,78.4961,-0.2550294294050046
2024-11-23,78.4802,-0.020255783408350256
2024-11-24,78.4777,-0.003185516856478101
2024-11-25,78.4814,0.004714715135630797
2024-11-26,78.4811,-0.00038225617789151075
2024-11-27,78.4806,-0.0006370960651703244
2024-11-28,78.3692,-0.1419459076510489
2024-11-29,78.2341,-0.17238915288149992
2024-11-30,78.2023,-0.04064723694655406
2024-12-01,78.2236,0.02723705057269512
2024-12-02,78.3897,0.21234000992028
2024-12-03,78.3917,0.0025513555990076997
2024-12-04,78.4833,0.1168491051986367
2024-12-05,78.5682,0.108175879454616
2024-12-06,78.5719,0.0047092844178623534
2024-12-07,78.5709,-0.0012727196364155312
2024-12-08,78.5628,-0.010309160261622161
2024-12-09,78.5379,-0.03169438971116402
2024-12-10,78.5391,0.0015279247344421156
2024-12-11,78.4646,-0.0948572112489199
2024-12-12,78.4604,-0.0053527323149513495
2024-12-13,78.4359,-0.031225943278396867
2024-12-14,78.5396,0.13220986818534528
2024-12-15,78.5396,0.0
2024-12-16,78.4837,-0.07117428660191047
2024-12-17,78.5259,0.053769126582964386
2024-12-18,78.4522,-0.09385438434960709
2024-12-19,78.4478,-0.0056085106599992815
2024-12-20,78.434,-0.01759131549897303
2024-12-21,78.4372,0.004079863324587237
2024-12-22,78.4373,0.00012749052743992492
2024-12-23,78.4414,0.005227104961552997
2024-12-24,78.4428,0.0017847718169281051
2024-12-25,78.4428,0.0
2024-12-26,78.443,0.000254962851902824
2024-12-27,78.4432,0.0002549622018620391
2024-12-28,78.5481,0.133727333918046
2024-12-29,78.5488,0.0008911736884721792
2024-12-30,78.4822,-0.08478805532356191
2024-12-31,78.4489,-0.04243000323641693
2025-01-01,78.3929,-0.07138404744999279
2025-01-02,78.4223,0.0375033963535086
2025-01-03,78.38,-0.05393873936369062
2025-01-04,78.3947,0.01875478438377752
2025-01-05,78.3945,-0.0002551192874092755
2025-01-06,78.3933,-0.0015307196295622823
2025-01-07,78.457,0.08125694415211147
2025-01-08,78.4547,-0.002931542118601383
2025-01-09,78.3682,-0.11025470749362487
2025-01-10,78.237,-0.16741484428633918
2025-01-11,78.2385,0.001917251428361469
2025-01-12,78.2405,0.0025562862273629207
2025-01-13,78.2886,0.06147711223727499
2025-01-14,78.3126,0.030655804293346554
2025-01-15,78.2151,-0.12450103814711373
2025-01-16,78.1451,-0.08949678514763439
2025-01-17,78.137,-0.010365333207071059
2025-01-18,78.16,0.029435478710465125
2025-01-19,78.1387,-0.02725179119753908
2025-01-20,78.2185,0.10212609116866017
2025-01-21,78.2224,0.004986032716029274
2025-01-22,78.2547,0.04129251978973598
2025-01-23,78.2227,-0.04089211255042378
2025-01-24,78.2141,-0.01099425102943426
2025-01-25,78.0913,-0.1570049390071586
2025-01-26,78.108,0.02138522473053997
2025-01-27,78.1055,-0.0032006964715492986
2025-01-28,78.0647,-0.05223703836478146
2025-01-29,78.0653,0.0007685932309885213
2025-01-30,78.073,0.009863537320678737
2025-01-31,78.0658,-0.009222138255219387
2025-02-01,78.1195,0.06878812488952435
2025-02-02,78.0983,-0.027137910508909343
2025-02-03,78.2082,0.1407200924988256
2025-02-04,78.4653,0.3287379072782574
2025-02-05,78.4662,0.001147003834818009
2025-02-06,78.4723,0.007774047934019421
2025-02-07,78.475,0.003440704554333382
2025-02-08,78.4501,-0.031729850270771784
2025-02-09,78.4226,-0.0350541299501255
2025-02-10,78.4222,-0.0005100570498798405
2025-02-11,78.3871,-0.04475773441703995
2025-02-12,78.3847,-0.0030617282690756737
2025-02-13,78.4024,0.022580937351300616
2025-02-14,78.4011,-0.0016581125067606642
2025-02-15,78.4119,0.013775316927955413
